province,latitude,longitude
Namur,50.1596036,5.2221665
Antwerp,51.0216389,4.4749801
Hainaut,50.45453,4.55332
Limburg,51.10882,5.191537
Brussels Capital Region,50.8412104,4.3005705
Walloon Brabant,50.7011788,4.6191047
Brussels Capital Region,50.9000847,4.3601883
East Flanders,50.8311501,3.993735
Luxembourg,50.3609641,5.5993089
Luxembourg,50.1229818,5.707116
Limburg,51.05405,5.333481
Antwerp,51.17469,4.438775
West Flanders,51.3566967,3.3064414
Limburg,51.03659,5.28902
Namur,50.5103824,4.5762791
Hainaut,50.7327228,3.6482519
Liège,50.5341543,5.2407774
Namur,50.21931,5.17081
Namur,50.25732,4.92347
Limburg,51.030004,5.7279111
Hainaut,50.4019348,4.4785529
Limburg,50.969278,5.6619185
Brussels Capital Region,50.8121298,4.4210424
East Flanders,51.054075,3.800096
Flemish Brabant,50.9113762,4.3727272
Brussels Capital Region,50.8363943,4.330434
Flemish Brabant,50.9356235,4.3785596
Luxembourg,50.2899894,5.9276177
Flemish Brabant,50.9749605,4.6389488
Hainaut,50.4833534,3.8384439
Hainaut,50.4134497,4.477443
West Flanders,51.1664752,3.3315477
West Flanders,50.7316074,3.3813911
Brussels Capital Region,50.8,4.3333333
Luxembourg,49.5822465,5.7588053
Luxembourg,49.5871911,5.5862953
Liège,50.5995428,5.5165098
West Flanders,51.2946419,3.1358267
Liège,50.5924052,5.59728354
Antwerp,51.272373,4.5196054
East Flanders,51.1614594,4.1648034
Hainaut,50.6218588,3.3941758
West Flanders,51.1107811,2.6635753
Luxembourg,50.1784748,5.6636753
Namur,50.25238755,4.67508226
Luxembourg,49.8826718,5.5498718
Brussels Capital Region,50.8885746,4.3171957
Luxembourg,49.7994608,5.46778
Liège,50.1966077,6.1376625
West Flanders,51.2572364,3.0544152
Limburg,50.85629,5.387601
Liège,50.6873139,5.6731744
Liège,50.6592997,5.5406234
Brussels Capital Region,50.8528157,4.3394294
Luxembourg,50.2011096,5.5400736
Liège,50.6363965,5.5187347
Limburg,51.07048,5.091363
Liège,50.7081463,5.6601736
Brussels Capital Region,50.8900331,4.3745984
Luxembourg,49.6833333,5.8166667
West Flanders,50.7873366,3.1283242
East Flanders,50.96589,3.97743
West Flanders,51.3001564,3.0894365
West Flanders,50.7904546,3.1658604
Brussels Capital Region,50.8808582,4.3227894
West Flanders,50.8910231,3.4279556
East Flanders,50.9612713,3.9951814
Flemish Brabant,50.8348579,4.4783496
Liège,50.6033855,5.51572059
Hainaut,50.4158684,4.5195068
Hainaut,50.7459126,3.219272
Antwerp,51.0980628,4.5051426
Antwerp,51.16416,4.398666
Brussels Capital Region,50.8412782,4.3395613
Liège,50.6209081,5.6957552
West Flanders,50.8326247,2.915139
Brussels Capital Region,50.8648307,4.3491892
Namur,50.4182043,4.6224097
