province,mean_price_mq,mean_urban_density,mean_surface,properties_total,benchmark_market_price,market_liquidity_score,green_properties_ratio
Antwerp,3327.718889227956,1303.6802155874236,172.42781690140845,1136,387750.067264574,1303.6802155874236,33.5387323943662
Brussels Capital Region,4782.127242973536,9643.179854532875,116.19333333333333,1200,381407.64267569856,9643.179854532875,8.0
East Flanders,2835.0022664650824,801.8739736239811,197.27716727716728,819,389849.5329192547,801.8739736239811,26.61782661782662
Flemish Brabant,2472.553255445968,928.3458400979521,207.41787439613526,414,375116.42821782175,928.3458400979521,26.08695652173913
Hainaut,2796.2359266680087,812.7726580206643,197.77863777089783,1292,383450.8780487805,812.7726580206643,23.91640866873065
Limburg,2791.5184300932115,473.83710319914275,181.71735537190082,605,390715.2698145025,473.83710319914275,31.074380165289256
Liège,2959.5586356453405,1192.6880162073574,167.77883908890522,1361,353389.4223555889,1192.6880162073574,21.381337252020575
Luxembourg,3028.660970283923,126.8913383599271,180.6374829001368,731,370844.79803646565,126.8913383599271,28.18057455540356
Namur,3441.4870130859417,235.0728621952003,163.58386801099908,1091,390468.5304022451,235.0728621952003,24.74793767186068
Walloon Brabant,2637.4871037471453,656.33962648733,190.15925925925927,270,380173.0827067669,656.33962648733,23.333333333333332
West Flanders,4002.243014400093,690.912857405231,152.374,1000,381072.4731404959,690.912857405231,36.5
